run,impl,threads,size,mix,mean_ops_per_sec
3,mvrlu-tree,8,1024,read_snap_short,14310140
3,mvrlu-tree,8,1024,write_heavy,9843970
3,mvrlu-tree,8,1024,write_snap_long,2723580
3,mvrlu-tree,8,16384,read_heavy,17936885
3,mvrlu-tree,8,16384,read_snap_short,9033266
3,mvrlu-tree,8,16384,write_heavy,9387714
3,mvrlu-tree,8,16384,write_snap_long,89838
3,mvrlu-tree,16,1024,read_heavy,47781318
3,mvrlu-tree,16,1024,read_snap_short,24572093
3,mvrlu-tree,16,1024,write_heavy,19935229
3,mvrlu-tree,16,1024,write_snap_long,4350337
3,mvrlu-tree,16,16384,read_heavy,35577081
3,mvrlu-tree,16,16384,read_snap_short,16521777
3,mvrlu-tree,16,16384,write_heavy,11747633
3,mvrlu-tree,16,16384,write_snap_long,181199
3,mvrlu-tree,24,1024,read_heavy,75155311
3,mvrlu-tree,24,1024,read_snap_short,35238843
3,mvrlu-tree,24,1024,write_heavy,17934665
3,mvrlu-tree,24,1024,write_snap_long,5892038
3,mvrlu-tree,24,16384,read_heavy,43783456
3,mvrlu-tree,24,16384,read_snap_short,26524403
3,mvrlu-tree,24,16384,write_heavy,16709115
3,mvrlu-tree,24,16384,write_snap_long,269340
3,mvrlu-tree,32,1024,read_heavy,97248779
3,mvrlu-tree,32,1024,read_snap_short,44559782
3,mvrlu-tree,32,1024,write_heavy,27475158
3,mvrlu-tree,32,1024,write_snap_long,7065064
3,mvrlu-tree,32,16384,read_heavy,64741599
3,mvrlu-tree,32,16384,read_snap_short,29933805
3,mvrlu-tree,32,16384,write_heavy,22852174
3,mvrlu-tree,32,16384,write_snap_long,335344
3,mvrlu-tree,48,1024,read_heavy,125015464
3,mvrlu-tree,48,1024,read_snap_short,55093714
3,mvrlu-tree,48,1024,write_heavy,31474623
3,mvrlu-tree,48,1024,write_snap_long,9174918
3,mvrlu-tree,48,16384,read_heavy,104565156
3,mvrlu-tree,48,16384,read_snap_short,44678288
3,mvrlu-tree,48,16384,write_heavy,29167325
3,mvrlu-tree,48,16384,write_snap_long,457462
3,mvrlu-tree,64,1024,read_heavy,107630285
3,mvrlu-tree,64,1024,read_snap_short,43330241
3,mvrlu-tree,64,1024,write_heavy,20836459
3,mvrlu-tree,64,1024,write_snap_long,10211331
3,mvrlu-tree,64,16384,read_heavy,93545652
3,mvrlu-tree,64,16384,read_snap_short,47006677
3,mvrlu-tree,64,16384,write_heavy,25656246
3,mvrlu-tree,64,16384,write_snap_long,621383
3,vcas-tree,1,1024,read_heavy,6728561
3,vcas-tree,1,1024,read_snap_short,2924155
3,vcas-tree,1,1024,write_heavy,5106663
3,vcas-tree,1,1024,write_snap_long,546189
3,vcas-tree,1,16384,read_heavy,2480965
3,vcas-tree,1,16384,read_snap_short,1225452
3,vcas-tree,1,16384,write_heavy,2077347
3,vcas-tree,1,16384,write_snap_long,10298
3,vcas-tree,2,1024,read_heavy,10745276
3,vcas-tree,2,1024,read_snap_short,5043046
3,vcas-tree,2,1024,write_heavy,6085427
3,vcas-tree,2,1024,write_snap_long,865526
3,vcas-tree,2,16384,read_heavy,4797009
3,vcas-tree,2,16384,read_snap_short,2324488
3,vcas-tree,2,16384,write_heavy,4014085
3,vcas-tree,2,16384,write_snap_long,21619
3,vcas-tree,4,1024,read_heavy,20342422
3,vcas-tree,4,1024,read_snap_short,8972764
3,vcas-tree,4,1024,write_heavy,9468437
3,vcas-tree,4,1024,write_snap_long,1599462
3,vcas-tree,4,16384,read_heavy,9555650
3,vcas-tree,4,16384,read_snap_short,4506921
3,vcas-tree,4,16384,write_heavy,7325743
3,vcas-tree,4,16384,write_snap_long,43388
3,vcas-tree,8,1024,read_heavy,35136623
3,vcas-tree,8,1024,read_snap_short,13076516
3,vcas-tree,8,1024,write_heavy,15362556
3,vcas-tree,8,1024,write_snap_long,2459047
3,vcas-tree,8,16384,read_heavy,18305368
3,vcas-tree,8,16384,read_snap_short,8266212
3,vcas-tree,8,16384,write_heavy,12385103
3,vcas-tree,8,16384,write_snap_long,83629
3,vcas-tree,16,1024,read_heavy,65016961
3,vcas-tree,16,1024,read_snap_short,23480606
3,vcas-tree,16,1024,write_heavy,26712994
3,vcas-tree,16,1024,write_snap_long,4009733
3,vcas-tree,16,16384,read_heavy,36807352
3,vcas-tree,16,16384,read_snap_short,15936924
3,vcas-tree,16,16384,write_heavy,23798673
3,vcas-tree,16,16384,write_snap_long,169468
3,vcas-tree,24,1024,read_heavy,93916547
3,vcas-tree,24,1024,read_snap_short,34303293
3,vcas-tree,24,1024,write_heavy,37412118
3,vcas-tree,24,1024,write_snap_long,5643296
3,vcas-tree,24,16384,read_heavy,55879145
3,vcas-tree,24,16384,read_snap_short,23911184
3,vcas-tree,24,16384,write_heavy,34161878
3,vcas-tree,24,16384,write_snap_long,251386
3,vcas-tree,32,1024,read_heavy,121305690
3,vcas-tree,32,1024,read_snap_short,38368864
3,vcas-tree,32,1024,write_heavy,45983360
3,vcas-tree,32,1024,write_snap_long,6683210
3,vcas-tree,32,16384,read_heavy,73821208
3,vcas-tree,32,16384,read_snap_short,25724059
3,vcas-tree,32,16384,write_heavy,40847609
3,vcas-tree,32,16384,write_snap_long,315512
3,vcas-tree,48,1024,read_heavy,166873396
3,vcas-tree,48,1024,read_snap_short,29236458
3,vcas-tree,48,1024,write_heavy,63244302
3,vcas-tree,48,1024,write_snap_long,8651780
3,vcas-tree,48,16384,read_heavy,110248389
3,vcas-tree,48,16384,read_snap_short,38322561
3,vcas-tree,48,16384,write_heavy,63137287
3,vcas-tree,48,16384,write_snap_long,435284
3,vcas-tree,64,1024,read_heavy,191475056
3,vcas-tree,64,1024,read_snap_short,32718078
3,vcas-tree,64,1024,write_heavy,53794796
3,vcas-tree,64,1024,write_snap_long,9676239
3,vcas-tree,64,16384,read_heavy,133558977
3,vcas-tree,64,16384,read_snap_short,29354294
3,vcas-tree,64,16384,write_heavy,59782956
3,vcas-tree,64,16384,write_snap_long,566118
4,mvrlu-tree,1,1024,read_heavy,7193305
4,mvrlu-tree,1,1024,read_snap_short,3568329
4,mvrlu-tree,1,1024,write_heavy,5594717
4,mvrlu-tree,1,1024,write_snap_long,703535
4,mvrlu-tree,1,16384,read_heavy,2687007
4,mvrlu-tree,1,16384,read_snap_short,1211911
4,mvrlu-tree,1,16384,write_heavy,2322041
4,mvrlu-tree,1,16384,write_snap_long,10004
4,mvrlu-tree,2,1024,read_heavy,10965501
4,mvrlu-tree,2,1024,read_snap_short,5714448
4,mvrlu-tree,2,1024,write_heavy,5840910
4,mvrlu-tree,2,1024,write_snap_long,1090737
4,mvrlu-tree,2,16384,read_heavy,5257324
4,mvrlu-tree,2,16384,read_snap_short,2390345
4,mvrlu-tree,2,16384,write_heavy,3967793
4,mvrlu-tree,2,16384,write_snap_long,19565
4,mvrlu-tree,4,1024,read_heavy,20866295
4,mvrlu-tree,4,1024,read_snap_short,10202477
4,mvrlu-tree,4,1024,write_heavy,8897307
4,mvrlu-tree,4,1024,write_snap_long,1964451
4,mvrlu-tree,4,16384,read_heavy,10440449
4,mvrlu-tree,4,16384,read_snap_short,4667617
4,mvrlu-tree,4,16384,write_heavy,7114568
4,mvrlu-tree,4,16384,write_snap_long,42065
4,mvrlu-tree,8,1024,read_heavy,34064410
4,mvrlu-tree,8,1024,read_snap_short,15786193
4,mvrlu-tree,8,1024,write_heavy,9934816
4,mvrlu-tree,8,1024,write_snap_long,3037239
4,mvrlu-tree,8,16384,read_heavy,18462401
4,mvrlu-tree,8,16384,read_snap_short,8487142
4,mvrlu-tree,8,16384,write_heavy,9015592
4,mvrlu-tree,8,16384,write_snap_long,84117
4,mvrlu-tree,16,1024,read_heavy,38427947
4,mvrlu-tree,16,1024,read_snap_short,26811019
4,mvrlu-tree,16,1024,write_heavy,13705985
4,mvrlu-tree,16,1024,write_snap_long,5112192
4,mvrlu-tree,16,16384,read_heavy,34380109
4,mvrlu-tree,16,16384,read_snap_short,15978422
4,mvrlu-tree,16,16384,write_heavy,15141129
4,mvrlu-tree,16,16384,write_snap_long,169302
4,mvrlu-tree,24,1024,read_heavy,72704871
4,mvrlu-tree,24,1024,read_snap_short,37038318
4,mvrlu-tree,24,1024,write_heavy,18833501
4,mvrlu-tree,24,1024,write_snap_long,5994352
4,mvrlu-tree,24,16384,read_heavy,49522962
4,mvrlu-tree,24,16384,read_snap_short,23975494
4,mvrlu-tree,24,16384,write_heavy,17102489
4,mvrlu-tree,24,16384,write_snap_long,251586
4,mvrlu-tree,32,1024,read_heavy,98477262
4,mvrlu-tree,32,1024,read_snap_short,44423956
4,mvrlu-tree,32,1024,write_heavy,25279152
4,mvrlu-tree,32,1024,write_snap_long,6946259
4,mvrlu-tree,32,16384,read_heavy,56434816
4,mvrlu-tree,32,16384,read_snap_short,27652899
4,mvrlu-tree,32,16384,write_heavy,24466796
4,mvrlu-tree,32,16384,write_snap_long,318368
4,mvrlu-tree,48,1024,read_heavy,104368518
4,mvrlu-tree,48,1024,read_snap_short,50960235
4,mvrlu-tree,48,1024,write_heavy,33821828
4,mvrlu-tree,48,1024,write_snap_long,8852078
4,mvrlu-tree,48,16384,read_heavy,67648058
4,mvrlu-tree,48,16384,read_snap_short,35550871
4,mvrlu-tree,48,16384,write_heavy,30635137
4,mvrlu-tree,48,16384,write_snap_long,437350
4,mvrlu-tree,64,1024,read_heavy,115967151
4,mvrlu-tree,64,1024,read_snap_short,47586716
4,mvrlu-tree,64,1024,write_heavy,29576431
4,mvrlu-tree,64,1024,write_snap_long,9776355
4,mvrlu-tree,64,16384,read_heavy,110855909
4,mvrlu-tree,64,16384,read_snap_short,39442651
4,mvrlu-tree,64,16384,write_heavy,22602506
4,mvrlu-tree,64,16384,write_snap_long,580379
4,vcas-tree,1,1024,read_heavy,6721903
4,vcas-tree,1,1024,read_snap_short,2910626
4,vcas-tree,1,1024,write_heavy,5241502
4,vcas-tree,1,1024,write_snap_long,551847
4,vcas-tree,1,16384,read_heavy,2587147
4,vcas-tree,1,16384,read_snap_short,1203952
4,vcas-tree,1,16384,write_heavy,2257616
4,vcas-tree,1,16384,write_snap_long,10459
4,vcas-tree,2,1024,read_heavy,10977074
4,vcas-tree,2,1024,read_snap_short,4943273
4,vcas-tree,2,1024,write_heavy,6107941
4,vcas-tree,2,1024,write_snap_long,893597
4,vcas-tree,2,16384,read_heavy,5032951
4,vcas-tree,2,16384,read_snap_short,2264892
4,vcas-tree,2,16384,write_heavy,3968514
4,vcas-tree,2,16384,write_snap_long,20896
