run,impl,threads,size,mix,mean_ops_per_sec,std_within_run
2,coarse,2,16384,read_heavy,25904,52
2,coarse,2,16384,read_snap_short,25928,73
2,coarse,2,16384,write_heavy,25750,12
2,coarse,2,16384,write_snap_long,23618,72
2,coarse,4,1024,read_heavy,416286,1514
2,coarse,4,1024,read_snap_short,433672,6036
2,coarse,4,1024,write_heavy,494321,1285
2,coarse,4,1024,write_snap_long,430209,9566
2,coarse,4,16384,read_heavy,26168,69
2,coarse,4,16384,read_snap_short,26013,305
2,coarse,4,16384,write_heavy,25907,11
2,coarse,4,16384,write_snap_long,23778,67
2,coarse,8,1024,read_heavy,411613,5832
2,coarse,8,1024,read_snap_short,425645,2657
2,coarse,8,1024,write_heavy,486488,8332
2,coarse,8,1024,write_snap_long,425409,9182
2,coarse,8,16384,read_heavy,25886,72
2,coarse,8,16384,read_snap_short,25605,144
2,coarse,8,16384,write_heavy,25198,73
2,coarse,8,16384,write_snap_long,23216,135
2,coarse,16,1024,read_heavy,406356,319
2,coarse,16,1024,read_snap_short,417513,893
2,coarse,16,1024,write_heavy,469354,2047
2,coarse,16,1024,write_snap_long,414345,1847
2,coarse,16,16384,read_heavy,22907,140
2,coarse,16,16384,read_snap_short,22770,283
2,coarse,16,16384,write_heavy,22347,175
2,coarse,16,16384,write_snap_long,20461,358
2,coarse,24,1024,read_heavy,392511,12832
2,coarse,24,1024,read_snap_short,413416,4167
2,coarse,24,1024,write_heavy,438578,3319
2,coarse,24,1024,write_snap_long,405758,99
2,coarse,24,16384,read_heavy,21473,41
2,coarse,24,16384,read_snap_short,29381,14370
2,coarse,24,16384,write_heavy,20588,373
2,coarse,24,16384,write_snap_long,19271,144
2,coarse,32,1024,read_heavy,289711,3248
2,coarse,32,1024,read_snap_short,389671,3102
2,coarse,32,1024,write_heavy,376922,3647
2,coarse,32,1024,write_snap_long,386149,1825
2,coarse,32,16384,read_heavy,21693,80
2,coarse,32,16384,read_snap_short,21663,124
2,coarse,32,16384,write_heavy,21247,171
2,coarse,32,16384,write_snap_long,19655,173
2,coarse,48,1024,read_heavy,258382,81733
2,coarse,48,1024,read_snap_short,396004,14606
2,coarse,48,1024,write_heavy,435822,9923
2,coarse,48,1024,write_snap_long,397377,2656
2,coarse,48,16384,read_heavy,21541,24
2,coarse,48,16384,read_snap_short,21160,68
2,coarse,48,16384,write_heavy,21040,65
2,coarse,48,16384,write_snap_long,19107,108
2,coarse,64,1024,read_heavy,317103,4229
2,coarse,64,1024,read_snap_short,388596,2285
2,coarse,64,1024,write_heavy,385735,3301
2,coarse,64,1024,write_snap_long,390415,384
2,coarse,64,16384,read_heavy,21097,62
2,coarse,64,16384,read_snap_short,21121,235
2,coarse,64,16384,write_heavy,21080,246
2,coarse,64,16384,write_snap_long,19006,29
2,mvrlu,1,1024,read_heavy,257391,348
2,mvrlu,1,1024,read_snap_short,256245,177
2,mvrlu,1,1024,write_heavy,261857,56
2,mvrlu,1,1024,write_snap_long,232864,196
2,mvrlu,1,16384,read_heavy,5328,1
2,mvrlu,1,16384,read_snap_short,5199,9
2,mvrlu,1,16384,write_heavy,4654,4
2,mvrlu,1,16384,write_snap_long,4213,345
2,mvrlu,2,1024,read_heavy,517157,1389
2,mvrlu,2,1024,read_snap_short,494715,693
2,mvrlu,2,1024,write_heavy,467430,1670
2,mvrlu,2,1024,write_snap_long,433832,1264
2,mvrlu,2,16384,read_heavy,10837,5
2,mvrlu,2,16384,read_snap_short,10027,25
2,mvrlu,2,16384,write_heavy,9894,8
2,mvrlu,2,16384,write_snap_long,8319,30
2,mvrlu,4,1024,read_heavy,1030922,4818
2,mvrlu,4,1024,read_snap_short,989149,2293
